date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:54	7227/7227	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20May%202020%2011:19:53%20GMT	https://mjwwl.ladiestofuck.com/c/da57dc555e50572d?s1	C:/My%20Web%20Sites/Gameover/mjwwl.ladiestofuck.com/c/da57dc555e50572d8ddf.html	(from )
13:19:54	46/46	---M--	200	added ('OK')	text/html	date:Sun,%2003%20May%202020%2011:19:54%20GMT	https://mjwwl.ladiestofuck.com/robots.txt		(from )
13:20:13	4103/4103	---M--	200	added ('OK')	image/x-icon	etag:%224cdf3256cd7b8ec3917adb79d6bf457e%22	https://cdn-aimi.akamaized.net/images/favicon.ico	C:/My%20Web%20Sites/Gameover/cdn-aimi.akamaized.net/images/favicon.1.delayed	(from https://mjwwl.ladiestofuck.com/c/da57dc555e50572d?s1)
13:20:13	6297/6297	---M-Z	200	added ('OK')	text/css	etag:%227ed697de38f849770d32c59eff15ef36%22	https://cdn-aimi.akamaized.net/landings/186792/1588240300/css/style.css?1588240300	C:/My%20Web%20Sites/Gameover/cdn-aimi.akamaized.net/landings/186792/1588240300/css/style5e7a.css	(from https://mjwwl.ladiestofuck.com/c/da57dc555e50572d?s1)
13:20:13	85578/85578	---M-Z	200	added ('OK')	text/javascript	etag:%222f6b11a7e914718e0290410e85366fe9%22	https://cdn-aimi.akamaized.net/landings/186792/1588240300/js/jquery-2.2.4.min.js?1588240300	C:/My%20Web%20Sites/Gameover/cdn-aimi.akamaized.net/landings/186792/1588240300/js/jquery-2.2.4.min5e7a.js	(from https://mjwwl.ladiestofuck.com/c/da57dc555e50572d?s1)
13:20:14	24368/24368	---M-Z	200	added ('OK')	text/javascript	etag:%2223d73c6bd6cbea8f06d0cc227896a827%22	https://cdn-aimi.akamaized.net/landings/186792/1588240300/js/jquery.validate.min.js?1588240300	C:/My%20Web%20Sites/Gameover/cdn-aimi.akamaized.net/landings/186792/1588240300/js/jquery.validate.min5e7a.js	(from https://mjwwl.ladiestofuck.com/c/da57dc555e50572d?s1)
13:20:14	76831/76831	---M-Z	200	added ('OK')	text/javascript	etag:%22bfa8f1f852b184c85e02aa236793304f%22	https://cdn-aimi.akamaized.net/landings/186792/1588240300/js/translates.js?1588240300	C:/My%20Web%20Sites/Gameover/cdn-aimi.akamaized.net/landings/186792/1588240300/js/translates5e7a.js	(from https://mjwwl.ladiestofuck.com/c/da57dc555e50572d?s1)
13:20:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2003%20May%202020%2011:20:14%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Gameover/www.googletagmanager.com/gtm.65445.delayed	(from https://mjwwl.ladiestofuck.com/c/da57dc555e50572d?s1)
13:20:17	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2011:20:17%20GMT	https://www.googletagmanager.com/robots.txt		(from https://mjwwl.ladiestofuck.com/c/da57dc555e50572d?s1)
13:20:17	120/120	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Sun,%2003%20May%202020%2011:20:16%20GMT	https://www.googletagmanager.com/ns.html?id=GTM-PPJGZHL	C:/My%20Web%20Sites/Gameover/www.googletagmanager.com/ns.7fbf1.delayed	(from https://mjwwl.ladiestofuck.com/c/da57dc555e50572d?s1)
13:20:18	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2003%20May%202020%2011:20:17%20GMT	https://cdn-aimi.akamaized.net/robots.txt		(from https://mjwwl.ladiestofuck.com/c/da57dc555e50572d?s1)
13:20:18	5033579/5033579	---M--	200	added ('OK')	video/mp4	etag:%22243575c253529424d21e9da6a957481e%22	https://cdn-aimi.akamaized.net/landings/186792/1588240300/images/1.mp4	C:/My%20Web%20Sites/Gameover/cdn-aimi.akamaized.net/landings/186792/1588240300/images/1.mp4	(from https://mjwwl.ladiestofuck.com/c/da57dc555e50572d?s1)
